Gene	sgRNA	D18_DMSO|beta	D18_DMSO|z	D18_DMSO|p-value	D18_DMSO|fdr	D18_DMSO|wald-p-value	D18_DMSO|wald-fdr	D18_CompB|beta	D18_CompB|z	D18_CompB|p-value	D18_CompB|fdr	D18_CompB|wald-p-value	D18_CompB|wald-fdr
ZNF570	6	0.066941	0.63213	0.64736	0.93724	0.5273	0.72122	0.021781	0.20666	0.84695	0.97576	0.83627	0.91699
ZNF571	6	0.10321	1.3109	0.50509	0.8964	0.18991	0.42843	0.06089	0.77727	0.67981	0.96883	0.437	0.66616
ZNF572	6	0.031008	0.27506	0.80023	0.97623	0.78327	0.88693	0.13755	1.2336	0.39493	0.89773	0.21735	0.46993
ZNF573	6	-0.15791	-0.90116	0.43723	0.88028	0.3675	0.5957	-0.077183	-0.44507	0.72056	0.97308	0.65627	0.8267
ZNF574	6	-0.31932	-2.285	0.12325	0.70868	0.022312	0.17741	-0.34028	-2.4564	0.10372	0.68197	0.014033	0.13613
ZNF575	6	-0.06471	-0.40166	0.77805	0.97226	0.68793	0.83211	-0.095471	-0.59721	0.64956	0.96345	0.55037	0.75094
ZNF576	6	0.046235	0.66212	0.73379	0.96144	0.5079	0.70707	0.05324	0.76631	0.71029	0.97308	0.44349	0.67181
ZNF577	6	0.13596	2.4272	0.39119	0.85833	0.015217	0.15147	0.10839	1.941	0.49409	0.93231	0.052258	0.24373
ZNF578	6	0.10459	0.58624	0.50034	0.89554	0.55771	0.7431	0.10399	0.58826	0.51065	0.93799	0.55636	0.75548
ZNF579	6	0.45537	2.757	0.0084873	0.29683	0.0058343	0.10062	0.4059	2.4694	0.017842	0.3998	0.013535	0.13354
ZNF580	6	-0.18196	-1.1773	0.3676	0.85631	0.23907	0.48142	-0.20622	-1.3458	0.30773	0.86119	0.17838	0.42793
ZNF581	6	0.013244	0.10636	0.87634	0.98353	0.9153	0.95927	0.07649	0.61874	0.61647	0.95746	0.53609	0.74132
ZNF582	6	0.11949	1.1058	0.44668	0.88411	0.26882	0.51055	0.046254	0.43024	0.74237	0.97308	0.66702	0.83387
ZNF583	6	0.078429	0.54372	0.59968	0.92212	0.58664	0.76484	0.054955	0.38345	0.70427	0.97308	0.70138	0.84198
ZNF584	6	-0.035756	-0.19764	0.89989	0.98628	0.84333	0.92112	-0.35965	-1.9938	0.089208	0.65463	0.046177	0.23053
ZNF585A	6	0.18923	1.1342	0.24189	0.81145	0.25669	0.49818	0.20903	1.2641	0.20575	0.7988	0.2062	0.45803
ZNF585B	6	0.082544	0.50364	0.58298	0.9167	0.61451	0.78315	0.12256	0.75365	0.44162	0.91476	0.45106	0.67868
ZNF586	6	-0.076254	-0.4906	0.73087	0.96083	0.62371	0.78904	-0.06576	-0.42728	0.76801	0.97308	0.66918	0.83528
ZNF587	6	-0.11855	-0.53248	0.5619	0.90964	0.59439	0.7706	-0.30029	-1.3522	0.14533	0.73438	0.17631	0.42505
ZNF587B	6	-0.15356	-1.7987	0.44946	0.8846	0.072064	0.27197	-0.21921	-2.581	0.28022	0.85055	0.009851	0.11607
ZNF589	6	0.16115	1.051	0.31371	0.82917	0.29326	0.53319	0.27989	1.842	0.094319	0.66176	0.065479	0.27131
ZNF592	6	-0.19067	-1.4463	0.34301	0.84538	0.14808	0.37832	-0.28132	-2.1439	0.1702	0.76612	0.032043	0.19722
ZNF593	6	0.091833	0.80655	0.5467	0.90581	0.41993	0.63992	-0.052286	-0.46128	0.82414	0.97374	0.6446	0.81892
ZNF594	6	-0.026022	-0.35444	0.94401	0.99171	0.72301	0.85287	-0.12522	-1.712	0.53981	0.94089	0.086906	0.30948
ZNF595	6	0.0022362	0.023286	0.9253	0.98783	0.98142	0.99141	-0.047927	-0.50282	0.84312	0.97478	0.61509	0.79743
ZNF596	6	-0.30676	-2.0059	0.13726	0.72604	0.044865	0.22624	-0.15452	-1.0209	0.44385	0.91509	0.30731	0.55603
ZNF597	6	0.04296	0.48669	0.74784	0.9642	0.62648	0.79037	-0.060285	-0.68542	0.7916	0.97308	0.49308	0.70993
ZNF598	6	0.15231	1.3841	0.34146	0.84499	0.16632	0.4012	0.045604	0.41609	0.74529	0.97308	0.67734	0.84055
ZNF599	6	-0.40361	-3.6356	0.058042	0.56628	0.00027728	0.020194	-0.27528	-2.5043	0.17864	0.77602	0.012269	0.12755
ZNF600	6	-0.14731	-1.3576	0.46785	0.8874	0.17458	0.41065	-0.18222	-1.6892	0.36527	0.88402	0.091175	0.31563
ZNF605	6	0.014472	0.23859	0.87068	0.98241	0.81142	0.90307	0.073061	1.2128	0.62971	0.95921	0.22519	0.47807
ZNF606	6	-0.021325	-0.3056	0.96445	0.99493	0.75991	0.87368	0.012188	0.17533	0.8882	0.9806	0.86082	0.93063
ZNF607	6	-0.011115	-0.10253	0.98681	0.99714	0.91834	0.96041	-0.025999	-0.24144	0.93808	0.98841	0.80922	0.90128
ZNF608	6	0.12221	0.86885	0.43705	0.88028	0.38493	0.61023	0.20033	1.4418	0.22578	0.81749	0.14936	0.39512
ZNF609	6	-0.36921	-2.5736	0.080128	0.62469	0.010064	0.12845	-0.36027	-2.5317	0.088889	0.65425	0.01135	0.1227
ZNF610	6	-0.12473	-1.6471	0.54045	0.90434	0.099535	0.31545	-0.098356	-1.3083	0.63655	0.96108	0.19078	0.44158
ZNF611	6	-0.30308	-1.715	0.14178	0.73296	0.08635	0.29517	-0.25807	-1.4736	0.20602	0.7988	0.14059	0.38528
ZNF613	6	0.038109	0.61104	0.77025	0.97084	0.54117	0.73145	0.025634	0.4138	0.82957	0.97374	0.67902	0.84055
ZNF614	6	-0.069904	-0.4041	0.75556	0.96582	0.68614	0.8309	-0.11131	-0.64869	0.58923	0.95264	0.51654	0.7266
ZNF615	6	0.20783	1.447	0.20173	0.79874	0.14788	0.37818	0.11015	0.76971	0.48697	0.92939	0.44147	0.67042
ZNF616	6	-0.10257	-0.69554	0.62409	0.92694	0.48672	0.69186	-0.20748	-1.4141	0.30504	0.86076	0.15732	0.40437
ZNF618	6	0.19135	1.4421	0.23641	0.81145	0.14928	0.3798	0.32632	2.4745	0.052704	0.56841	0.013342	0.1328
ZNF619	6	0.036183	0.53565	0.77769	0.97226	0.5922	0.7689	0.025478	0.37925	0.83012	0.97374	0.7045	0.8441
ZNF620	6	0.094778	0.98241	0.53648	0.90313	0.3259	0.56169	0.11225	1.1724	0.47912	0.92819	0.24104	0.49367
ZNF621	6	0.17729	0.94275	0.26986	0.81145	0.34581	0.5785	0.14799	0.79169	0.36194	0.88231	0.42854	0.66029
ZNF622	6	-0.32214	-2.4242	0.12015	0.70176	0.015342	0.15195	-0.18945	-1.439	0.34679	0.87589	0.15016	0.3964
ZNF623	6	-0.014307	-0.10002	0.99795	0.99977	0.92033	0.96133	-0.14269	-1.0019	0.48099	0.92819	0.3164	0.56424
ZNF624	6	-0.17673	-1.6878	0.38325	0.85631	0.091457	0.30361	-0.1875	-1.7991	0.35095	0.87789	0.072003	0.28324
ZNF625	6	-0.11339	-0.63229	0.58252	0.91645	0.5272	0.72115	-0.035999	-0.20244	0.89373	0.98201	0.83957	0.9189
ZNF626	6	0.10569	0.57095	0.49665	0.89522	0.56803	0.75081	0.38103	2.0876	0.025964	0.45944	0.036832	0.2089
ZNF627	6	-0.020234	-0.14675	0.96988	0.9956	0.88333	0.94221	0.022649	0.16597	0.84248	0.97471	0.86818	0.93412
ZNF628	6	0.095407	1.0287	0.53342	0.90183	0.30364	0.54238	0.14704	1.5955	0.36514	0.88402	0.1106	0.34507
ZNF629	6	0.23713	1.7722	0.14871	0.74284	0.076359	0.27797	0.27921	2.1008	0.094958	0.66274	0.035657	0.20618
ZNF630	6	0.068332	1.1514	0.64143	0.93489	0.24956	0.49187	0.14347	2.4315	0.37682	0.88906	0.015038	0.1406
ZNF638	6	0.25486	2.4432	0.12243	0.70732	0.014557	0.14845	0.24671	2.3806	0.13634	0.71931	0.017286	0.14908
ZNF639	6	-0.033773	-0.20977	0.90933	0.98737	0.83385	0.91566	-0.1976	-1.232	0.32704	0.86694	0.21795	0.47044
ZNF641	6	0.074284	0.89043	0.61684	0.92574	0.37324	0.60033	0.074636	0.89967	0.62441	0.95837	0.3683	0.61003
ZNF644	6	-0.025845	-0.22572	0.9446	0.99171	0.82142	0.90884	-0.14053	-1.2323	0.4883	0.92982	0.21784	0.47033
ZNF645	6	0.22002	1.7376	0.17851	0.78347	0.082287	0.28773	0.24166	1.9192	0.1446	0.73356	0.054965	0.25006
ZNF646	6	0.037085	0.27157	0.7744	0.9721	0.78595	0.88824	-0.026126	-0.19217	0.9373	0.98832	0.84761	0.92286
ZNF648	6	0.098147	1.0672	0.52384	0.90085	0.28586	0.52624	0.17088	1.8692	0.29523	0.85564	0.061597	0.26375
ZNF649	6	-0.13233	-1.0122	0.51389	0.89903	0.31145	0.54929	-0.084376	-0.65061	0.69122	0.97134	0.5153	0.72585
ZNF652	6	-0.0051271	-0.043679	0.9603	0.99475	0.96516	0.98347	0.0095348	0.081805	0.90121	0.98332	0.9348	0.96861
ZNF653	6	-0.1038	-0.62695	0.62044	0.92581	0.53069	0.72372	-0.12014	-0.73055	0.55761	0.94554	0.46506	0.68882
ZNF654	6	0.084772	0.66084	0.57344	0.91173	0.50871	0.70752	0.20955	1.6472	0.20443	0.79723	0.099516	0.32859
ZNF655	6	0.12932	1.0848	0.41351	0.87183	0.27801	0.51954	0.099749	0.84192	0.52489	0.94029	0.39983	0.63721
ZNF658	6	-0.24549	-1.6706	0.22651	0.81145	0.094803	0.3082	-0.17389	-1.2001	0.38782	0.89407	0.2301	0.48288
ZNF660	6	0.00022018	0.0028207	0.93584	0.98987	0.99775	0.99857	-0.060305	-0.77669	0.79156	0.97308	0.43734	0.66635
ZNF662	6	-0.098166	-0.74317	0.64257	0.93503	0.45738	0.67145	-0.048148	-0.36665	0.84166	0.97459	0.71388	0.84946
ZNF664	6	-0.22739	-1.5437	0.26105	0.81145	0.12267	0.34409	-0.16097	-1.1041	0.424	0.90973	0.26954	0.52059
ZNF664-FAM101A	6	0.38928	2.1933	0.021036	0.41124	0.028286	0.19605	0.24563	1.3869	0.13817	0.72302	0.16548	0.41351
ZNF665	6	-0.2997	-2.2582	0.14561	0.74001	0.023931	0.1816	-0.36358	-2.7599	0.085969	0.64676	0.0057815	0.090272
ZNF667	6	-0.25076	-2.0308	0.21707	0.81106	0.042277	0.22624	-0.29891	-2.4419	0.14711	0.73725	0.014609	0.13878
ZNF668	6	0.3539	2.3602	0.035729	0.48759	0.018264	0.16249	0.33362	2.2365	0.048141	0.54812	0.025321	0.17774
ZNF669	6	-0.47011	-2.1772	0.032078	0.47488	0.029468	0.19852	-0.47928	-2.2362	0.032352	0.48863	0.025341	0.17777
ZNF670	6	0.048303	0.56331	0.72444	0.95945	0.57322	0.75458	0.15135	1.7788	0.352	0.87859	0.075266	0.28993
ZNF671	6	0.099338	0.68483	0.51964	0.89987	0.49345	0.69635	0.044469	0.30767	0.74958	0.97308	0.75834	0.8717
ZNF672	6	-0.13653	-1.0345	0.50103	0.89589	0.30092	0.54007	-0.22354	-1.7006	0.27036	0.84693	0.089025	0.31334
ZNF674	6	-0.020174	-0.16754	0.97002	0.9956	0.86695	0.93486	0.066001	0.55245	0.65918	0.96455	0.58064	0.7725
ZNF675	6	-0.032219	-0.17221	0.91567	0.98746	0.86327	0.93278	-0.17718	-0.95229	0.37901	0.89002	0.34095	0.58546
ZNF676	6	-0.10015	-0.67999	0.63395	0.93217	0.49651	0.6984	-0.043248	-0.29619	0.86256	0.97741	0.76709	0.87716
ZNF677	6	-0.056498	-0.51628	0.81196	0.97746	0.60566	0.77756	-0.032431	-0.29874	0.90837	0.98385	0.76514	0.87597
ZNF679	6	-0.12868	-0.84943	0.5269	0.90183	0.39564	0.61937	-0.022049	-0.14739	0.9551	0.99152	0.88283	0.94251
ZNF680	6	-0.066562	-0.97516	0.7708	0.9711	0.32948	0.56456	-0.040047	-0.59082	0.87593	0.97754	0.55464	0.75403
ZNF681	6	-0.11732	-0.86698	0.56696	0.91064	0.38596	0.61136	-0.076754	-0.57155	0.72202	0.97308	0.56763	0.76345
ZNF682	6	-0.026492	-0.14672	0.94223	0.99165	0.88335	0.94221	-0.035211	-0.19709	0.89674	0.98227	0.84376	0.92114
ZNF683	6	0.056464	0.94006	0.69163	0.95082	0.34718	0.57961	0.1048	1.7533	0.50755	0.93762	0.079554	0.29568
ZNF684	6	-0.94709	-3.5441	0.0015514	0.22517	0.00039394	0.024133	-1.1545	-4.3214	0.00054757	0.16901	1.5505e-05	0.0035768
ZNF687	6	-0.1013	-1.4347	0.62916	0.92905	0.15138	0.38269	-0.029003	-0.41349	0.92439	0.98725	0.67925	0.84055
ZNF688	6	0.21646	2.4494	0.18554	0.78657	0.014308	0.14758	0.13002	1.4758	0.42026	0.90947	0.14	0.38432
ZNF689	6	-0.0038033	-0.030546	0.95478	0.99453	0.97563	0.98858	0.11782	0.95917	0.45918	0.92245	0.33747	0.58213
ZNF69	6	0.080553	0.43607	0.5906	0.92042	0.66278	0.81475	0.14265	0.7913	0.37933	0.89002	0.42877	0.66033
ZNF691	6	-0.36253	-2.2583	0.083733	0.6295	0.023927	0.1816	-0.28455	-1.7977	0.16582	0.7606	0.07223	0.28363
ZNF692	6	-0.094007	-1.0919	0.65809	0.94089	0.27488	0.51646	-0.15856	-1.8504	0.43117	0.91164	0.06425	0.26912
ZNF695	6	-0.030411	-0.35744	0.9238	0.98783	0.72076	0.85178	0.011233	0.13323	0.89236	0.98163	0.89401	0.94822
ZNF696	6	0.2088	1.6913	0.19991	0.79698	0.090782	0.30258	0.16333	1.33	0.3149	0.86342	0.18351	0.43392
ZNF697	6	0.10629	0.93779	0.494	0.89405	0.34835	0.5805	0.1715	1.5242	0.29368	0.85461	0.12746	0.3687
ZNF699	6	0.24166	1.7503	0.14018	0.73004	0.080063	0.2849	0.091677	0.66642	0.55514	0.94537	0.50514	0.71874
ZNF7	6	0.021836	0.20856	0.83965	0.9796	0.83479	0.91628	-0.076109	-0.72936	0.72444	0.97308	0.46578	0.6894
ZNF70	6	0.057672	0.42128	0.68679	0.94924	0.67355	0.82307	0.014556	0.10688	0.87853	0.97845	0.91489	0.95831
ZNF700	6	0.075807	0.28673	0.61036	0.92383	0.77432	0.88221	0.13208	0.50576	0.41392	0.90856	0.61302	0.79597
ZNF701	6	-0.067692	-0.27125	0.76619	0.96968	0.7862	0.88824	-0.042628	-0.17229	0.86571	0.97752	0.86321	0.93194
ZNF703	6	-0.0323	-0.4522	0.91558	0.98746	0.65112	0.80753	-0.058299	-0.81974	0.79918	0.97349	0.41237	0.64707
ZNF704	6	0.1506	1.0497	0.34606	0.84668	0.29384	0.53378	0.13244	0.93174	0.4125	0.90854	0.35147	0.59552
ZNF705A	6	-0.059483	-0.41614	0.79963	0.97623	0.67731	0.8255	-0.061768	-0.43604	0.78549	0.97308	0.66281	0.83104
ZNF705B	6	0.45624	1.3278	0.0083961	0.29683	0.18425	0.42257	0.44126	1.2943	0.010176	0.31994	0.19558	0.44634
ZNF705D	6	-0.26793	-1.157	0.18745	0.7869	0.24726	0.48947	-0.49509	-2.14	0.028611	0.47655	0.032353	0.19805
ZNF706	6	0.22088	1.2459	0.17682	0.78114	0.21279	0.45483	0.22045	1.2517	0.18271	0.78188	0.21069	0.4632
ZNF707	6	-0.70273	-2.0391	0.005065	0.25676	0.041437	0.22624	-0.59248	-1.7367	0.012366	0.34131	0.082437	0.301
ZNF708	6	-0.10911	-0.60993	0.59927	0.92209	0.54191	0.73191	-0.091749	-0.51914	0.66315	0.96712	0.60366	0.78957
ZNF709	6	-0.088218	-0.92756	0.68081	0.94691	0.35363	0.58477	-0.1536	-1.6251	0.44659	0.91614	0.10414	0.33485
ZNF71	6	-0.013139	-0.11859	0.99644	0.99945	0.9056	0.95496	-0.037417	-0.33934	0.88752	0.98029	0.73435	0.8624
ZNF710	6	0.058569	0.6416	0.68268	0.94762	0.52113	0.71701	0.096059	1.0589	0.53854	0.94089	0.28965	0.53921
ZNF711	6	0.20359	1.5663	0.2105	0.80916	0.11729	0.33687	0.24988	1.9426	0.13183	0.71634	0.052069	0.24356
ZNF713	6	-0.057341	-0.74811	0.8083	0.97734	0.4544	0.66968	-0.075919	-0.99539	0.7253	0.97308	0.31954	0.56654
ZNF714	6	0.02963	0.21054	0.80607	0.97721	0.83325	0.91546	0.17421	1.2486	0.28706	0.85319	0.21182	0.46457
ZNF716	6	-0.25599	-1.1335	0.20862	0.80564	0.25702	0.49834	-0.27735	-1.2409	0.176	0.77403	0.21466	0.46746
ZNF720	6	-0.19489	-1.2608	0.33402	0.84322	0.20738	0.44824	-0.17885	-1.1719	0.37413	0.88906	0.24122	0.49371
ZNF721	6	0.22643	1.3802	0.16669	0.76746	0.16751	0.40284	0.19731	1.2129	0.23212	0.82287	0.22516	0.47807
ZNF726	6	0.20295	1.3791	0.21209	0.81106	0.16787	0.40313	0.12393	0.84646	0.43769	0.91421	0.39729	0.6352
ZNF727	6	0.16741	0.9909	0.29519	0.81852	0.32174	0.55813	-0.071827	-0.42516	0.74269	0.97308	0.67072	0.83613
ZNF728	6	-0.089995	-0.30816	0.67315	0.94564	0.75796	0.87273	-0.042354	-0.14752	0.86694	0.97752	0.88272	0.94246
ZNF729	6	-0.093035	-0.43929	0.66156	0.94218	0.66045	0.81364	-0.137	-0.65049	0.50071	0.9347	0.51537	0.72591
ZNF730	6	-0.3802	-2.7345	0.072553	0.60803	0.0062467	0.10363	-0.38833	-2.815	0.068948	0.61026	0.0048777	0.083163
ZNF732	6	-0.18162	-0.98642	0.3687	0.85631	0.32393	0.55998	-0.12877	-0.70757	0.52854	0.94029	0.47921	0.69947
ZNF735	6	0.023634	0.27551	0.83276	0.9796	0.78292	0.8867	0.031062	0.36471	0.80566	0.97374	0.71533	0.85026
ZNF736	6	0.033433	0.17454	0.78909	0.97379	0.86144	0.93158	0.13777	0.72584	0.3942	0.89702	0.46794	0.69105
ZNF737	6	-0.11972	-0.62716	0.55802	0.90895	0.53055	0.72372	-0.051694	-0.27321	0.82651	0.97374	0.78469	0.8877
ZNF74	6	-0.060012	-0.67802	0.79726	0.97539	0.49776	0.69939	-0.083128	-0.94434	0.6966	0.97229	0.34499	0.58984
ZNF740	6	0.16251	0.76992	0.30888	0.82537	0.44135	0.65833	0.18878	0.90105	0.25197	0.83328	0.36756	0.6095
ZNF746	6	-0.050945	-0.56593	0.83504	0.9796	0.57144	0.753	-0.045163	-0.50563	0.85476	0.97687	0.61312	0.79597
ZNF747	6	0.070012	0.55411	0.63459	0.93254	0.5795	0.75929	0.16413	1.3165	0.3123	0.86342	0.18801	0.43911
ZNF749	6	-0.057722	-0.66455	0.80684	0.97734	0.50634	0.7062	-0.10325	-1.194	0.61784	0.95746	0.23248	0.48529
ZNF750	6	0.0010581	0.011325	0.93137	0.98946	0.99096	0.99581	0.067024	0.72254	0.65512	0.96375	0.46996	0.69248
ZNF75A	6	-0.13229	-1.2884	0.51412	0.89908	0.1976	0.43693	-0.10185	-0.99834	0.623	0.95837	0.31812	0.5655
ZNF75D	6	0.080242	1.0056	0.59197	0.92091	0.31462	0.55203	0.17399	2.1977	0.28766	0.85319	0.02797	0.18546
ZNF76	6	-0.062464	-0.55169	0.78645	0.97252	0.58116	0.76041	-0.13123	-1.1651	0.52024	0.9395	0.24396	0.49642
ZNF763	6	-0.19253	-1.6288	0.33899	0.84499	0.10336	0.32042	-0.19699	-1.6831	0.32831	0.8676	0.092346	0.31722
ZNF764	6	0.096197	0.87599	0.5311	0.90183	0.38104	0.60677	-0.062512	-0.57105	0.78211	0.97308	0.56796	0.76366
ZNF765	6	-0.067801	-0.5956	0.76569	0.96921	0.55144	0.73918	0.012789	0.11367	0.88633	0.98023	0.9095	0.95556
ZNF766	6	0.049251	0.33289	0.72005	0.95822	0.73922	0.86271	-0.00453	-0.030813	0.96509	0.99366	0.97542	0.98815
ZNF768	6	0.08805	0.76613	0.56057	0.90964	0.4436	0.65985	0.1124	0.98312	0.47867	0.928	0.32555	0.57247
ZNF77	6	-0.006967	-0.061491	0.96856	0.99531	0.95097	0.97618	0.060286	0.5369	0.68186	0.96883	0.59134	0.78002
ZNF770	6	-0.016863	-0.16406	0.98554	0.99682	0.86969	0.93657	0.0078003	0.076398	0.90888	0.98385	0.9391	0.9709
ZNF771	6	0.046615	0.56034	0.73201	0.96083	0.57524	0.75597	0.17277	2.0888	0.29053	0.85386	0.036726	0.20858
ZNF772	6	-0.15751	-1.4805	0.43888	0.88114	0.13873	0.36714	-0.036159	-0.34332	0.89318	0.98194	0.73136	0.86047
ZNF773	6	-0.00013088	-0.00056071	0.93726	0.98998	0.99955	0.99969	-0.093773	-0.40386	0.65553	0.96375	0.68631	0.84055
ZNF774	6	0.034654	0.35906	0.7838	0.97226	0.71955	0.85118	0.012904	0.13448	0.88601	0.98021	0.89302	0.9478
ZNF775	6	0.3995	2.1969	0.017796	0.39	0.028025	0.19578	0.46098	2.5477	0.0076204	0.29401	0.010844	0.12023
ZNF776	6	-0.23379	-1.883	0.24814	0.81145	0.059701	0.25011	-0.282	-2.2889	0.16929	0.76451	0.022087	0.16662
ZNF777	6	0.39311	1.8597	0.01953	0.40523	0.062927	0.25633	0.3914	1.8614	0.022085	0.42958	0.062689	0.26547
ZNF778	6	-0.50306	-2.0639	0.024458	0.43506	0.039029	0.22022	-0.48661	-2.0147	0.030436	0.48513	0.043933	0.22598
ZNF780A	6	0.010253	0.058001	0.88939	0.98479	0.95375	0.97771	-0.10198	-0.57877	0.62268	0.95837	0.56274	0.75986
ZNF780B	6	-0.003659	-0.038712	0.95428	0.99453	0.96912	0.9854	0.0103	0.10994	0.89697	0.98227	0.91246	0.95682
ZNF781	6	-0.18603	-1.7779	0.35619	0.85144	0.07542	0.27718	-0.20198	-1.9411	0.31713	0.8638	0.052245	0.24373
ZNF782	6	-0.14162	-1.2129	0.48501	0.89293	0.22517	0.46691	-0.20172	-1.7376	0.31777	0.86413	0.082284	0.30079
ZNF783	6	-0.18255	-2.1805	0.36582	0.85631	0.029217	0.19804	-0.1214	-1.4581	0.55245	0.9449	0.14481	0.39013
ZNF784	6	-0.30071	-2.6539	0.14456	0.73858	0.0079558	0.11585	-0.29401	-2.6151	0.15355	0.74529	0.0089192	0.11106
ZNF785	6	0.34033	2.2516	0.042939	0.52018	0.024347	0.18301	0.3053	2.0293	0.068903	0.6101	0.042426	0.22254
ZNF786	6	0.097025	0.78881	0.52822	0.90183	0.43022	0.65005	0.13603	1.1165	0.39977	0.90092	0.26423	0.51618
ZNF787	6	0.1891	1.5155	0.24225	0.81145	0.12965	0.35312	0.061899	0.49774	0.67547	0.96828	0.61867	0.80003
ZNF789	6	-0.4282	-3.3127	0.046817	0.5341	0.00092402	0.039017	-0.44116	-3.4363	0.043897	0.54197	0.00058976	0.028282
ZNF79	6	0.13068	1.1428	0.40876	0.86853	0.25312	0.49511	0.067717	0.59467	0.65238	0.96375	0.55207	0.75213
ZNF790	6	-0.18054	-1.7115	0.37189	0.85631	0.086982	0.29651	-0.086031	-0.82498	0.68483	0.96926	0.40938	0.64529
ZNF791	6	0.02874	0.30101	0.81136	0.97746	0.76341	0.87597	0.052623	0.55414	0.71312	0.97308	0.57948	0.77167
ZNF792	6	-0.038843	-0.36552	0.8862	0.98414	0.71472	0.8486	0.13008	1.2389	0.41985	0.90947	0.2154	0.46801
ZNF793	6	0.12568	1.4626	0.42583	0.87534	0.14357	0.37228	0.037874	0.4426	0.776	0.97308	0.65805	0.82795
ZNF799	6	-0.21732	-1.2402	0.2836	0.81234	0.21489	0.45663	-0.48167	-2.7555	0.031759	0.48861	0.0058598	0.091012
ZNF8	6	0.023251	0.13663	0.83422	0.9796	0.89132	0.94624	-0.076288	-0.45	0.72361	0.97308	0.65271	0.82436
ZNF80	6	-0.24687	-3.2502	0.22409	0.81145	0.0011532	0.044337	-0.13213	-1.7526	0.51741	0.9392	0.079674	0.29568
ZNF800	6	-0.33288	-3.0659	0.10942	0.68222	0.0021704	0.06172	-0.28779	-2.67	0.16103	0.75267	0.007586	0.10276
ZNF804A	6	-0.053402	-0.43015	0.82519	0.97853	0.66709	0.81781	-0.013409	-0.10891	0.99425	0.99913	0.91328	0.95726
ZNF804B	6	0.041747	0.35017	0.75355	0.96572	0.72621	0.85502	-0.004527	-0.038196	0.96509	0.99366	0.96953	0.98541
ZNF805	6	0.13307	0.87173	0.40023	0.86295	0.38335	0.60861	0.076786	0.50515	0.61497	0.95746	0.61346	0.79615
ZNF808	6	-0.061377	-0.25682	0.7911	0.97395	0.79732	0.89446	0.01143	0.04882	0.89167	0.98157	0.96106	0.98171
ZNF81	6	0.39117	2.4504	0.020078	0.40628	0.014269	0.14758	0.34158	2.1505	0.043532	0.54108	0.031516	0.19585
ZNF812	6	-0.081319	-0.44563	0.70997	0.95637	0.65587	0.81036	0.037885	0.20955	0.776	0.97308	0.83402	0.91571
ZNF813	6	-0.014103	-0.11346	0.99918	0.99991	0.90967	0.95693	-0.034409	-0.27915	0.90007	0.98291	0.78013	0.88541
ZNF814	6	0.016432	0.17294	0.86178	0.98191	0.8627	0.93243	-0.095259	-1.006	0.65033	0.96356	0.31442	0.56277
ZNF816	6	0.092551	0.34871	0.54442	0.90545	0.72731	0.85597	0.13316	0.50713	0.41054	0.90842	0.61206	0.79529
ZNF816-ZNF321P	6	-0.0089632	-0.062531	0.97851	0.99682	0.95014	0.97583	-0.022227	-0.1566	0.95437	0.99147	0.87556	0.9382
ZNF821	6	-0.18912	-2.4694	0.34775	0.84668	0.013536	0.14443	-0.1792	-2.355	0.37326	0.88885	0.018522	0.15341
ZNF823	6	0.1347	1.2331	0.39512	0.86056	0.21756	0.45885	0.20769	1.9156	0.20844	0.80126	0.055413	0.25101
ZNF827	6	-0.026481	-0.48303	0.94237	0.99165	0.62907	0.79203	-0.05093	-0.93367	0.82966	0.97374	0.35047	0.59477
ZNF829	6	-0.026474	-0.19753	0.94241	0.99165	0.84342	0.92112	-0.034541	-0.25998	0.89948	0.9828	0.79488	0.89304
ZNF83	6	-0.06998	-0.49784	0.75528	0.96582	0.6186	0.78601	-0.13723	-0.98193	0.50002	0.9347	0.32614	0.57297
ZNF830	6	-0.18925	-2.0319	0.34725	0.84668	0.042162	0.22624	-0.25136	-2.711	0.21647	0.80969	0.0067075	0.096327
ZNF831	6	-0.28017	-2.6826	0.17235	0.77461	0.0073046	0.11087	-0.087232	-0.84586	0.68004	0.96883	0.39763	0.63547
ZNF835	6	-0.061162	-0.68745	0.79229	0.97425	0.4918	0.69584	-0.021527	-0.24385	0.95811	0.99198	0.80735	0.90045
ZNF836	6	-0.050696	-0.71568	0.83568	0.9796	0.47419	0.68291	0.0097372	0.13836	0.89979	0.98291	0.88995	0.94665
ZNF837	6	0.29197	2.463	0.078211	0.62101	0.013779	0.14552	0.29165	2.4723	0.082637	0.63828	0.013426	0.13309
ZNF839	6	0.14365	1.0839	0.36614	0.85631	0.27839	0.51981	0.076833	0.58327	0.61478	0.95746	0.55971	0.75796
ZNF84	6	0.017307	0.17299	0.85722	0.9813	0.86266	0.93243	0.084304	0.84853	0.58622	0.95264	0.39614	0.63424
ZNF841	6	-0.17405	-1.2499	0.39074	0.85833	0.21133	0.45318	-0.19346	-1.3994	0.33657	0.87075	0.16168	0.40864
ZNF843	6	-0.041529	-0.65307	0.87561	0.9833	0.51371	0.71166	-0.10012	-1.5824	0.62984	0.95921	0.11357	0.34951
ZNF844	6	0.12011	0.92833	0.44454	0.88366	0.35324	0.58446	0.021398	0.16607	0.84887	0.97669	0.8681	0.93408
ZNF845	6	-0.13485	-0.64179	0.50623	0.8964	0.52101	0.71693	-0.29045	-1.3875	0.15811	0.74736	0.1653	0.41343
